Fonction;Operation;nbIteration;Marge d'erreur (%);Temps d'entrainement(nanosecondes)
Tanh;AND;624;0,120728;680500
Tanh;AND;625;0,253748;682099
Tanh;AND;626;0,195861;674999
Tanh;AND;627;0,236068;673001
Tanh;AND;628;0,113659;669500
Tanh;AND;629;0,177221;675301
Tanh;AND;630;0,120912;693901
Tanh;AND;631;0,253324;684700
Tanh;AND;632;0,246902;691100
Tanh;AND;633;0,153236;676800
Tanh;AND;634;0,239096;677801
Tanh;AND;635;0,247667;684501
Tanh;AND;636;0,113939;684700
Tanh;AND;637;0,23451;726901
Tanh;AND;638;0,180669;943300
Tanh;AND;639;0,155197;957300
Tanh;AND;640;0,113372;983500
Tanh;AND;641;0,183016;735300
Tanh;AND;642;0,121611;670400
Tanh;AND;643;0,165185;671001
Tanh;AND;644;0,116365;677800
Tanh;AND;645;0,185109;679000
Tanh;AND;646;0,172876;673700
Tanh;AND;647;0,113016;668301
Tanh;AND;648;0,110907;669300
Tanh;AND;649;0,115463;667900
Tanh;AND;650;0,241442;668600
Tanh;AND;651;0,191848;685300
Tanh;AND;652;0,23957;680800
Tanh;AND;653;0,11185;676899
Tanh;AND;654;0,114049;694700
Tanh;AND;655;0,179593;697900
Tanh;AND;656;0,113615;699101
Tanh;AND;657;0,11246;709801
Tanh;AND;658;0,19427;718700
Tanh;AND;659;0,110629;803500
Tanh;AND;660;0,110693;818400
Tanh;AND;661;0,224879;710900
Tanh;AND;662;0,235277;721101
Tanh;AND;663;0,219729;689400
Tanh;AND;664;0,130948;685501
Tanh;AND;665;0,110961;700800
Tanh;AND;666;0,220849;687401
Tanh;AND;667;0,110452;684999
Tanh;AND;668;0,11115;687500
Tanh;AND;669;0,226622;704300
Tanh;AND;670;0,109724;706501
Tanh;AND;671;0,154851;704000
Tanh;AND;672;0,194679;689299
Tanh;AND;673;0,233784;691500
Tanh;AND;674;0,193176;711301
Tanh;AND;675;0,162078;694300
Tanh;AND;676;0,107084;695600
Tanh;AND;677;0,226217;701700
Tanh;AND;678;0,108785;713600
Tanh;AND;679;0,109714;726801
Tanh;AND;680;0,225918;751599
Tanh;AND;681;0,108129;835900
Tanh;AND;682;0,157308;969000
Tanh;AND;683;0,191426;948601
Tanh;AND;684;0,230715;703599
Tanh;AND;685;0,193501;721800
Tanh;AND;686;0,14845;710900
Tanh;AND;687;0,107716;709400
Tanh;AND;688;0,216389;734900
Tanh;AND;689;0,105852;707600
Tanh;AND;690;0,105569;708800
Tanh;AND;691;0,209282;710600
Tanh;AND;692;0,107725;711400
Tanh;AND;693;0,117588;712900
Tanh;AND;694;0,2123;717500
Tanh;AND;695;0,22165;714300
Tanh;AND;696;0,216941;714399
Tanh;AND;697;0,105222;718100
Tanh;AND;698;0,105601;720900
Tanh;AND;699;0,178637;717900
Tanh;AND;700;0,105861;736700
Tanh;AND;701;0,10421;724000
Tanh;AND;702;0,157525;775600
Tanh;AND;703;0,105655;758501
Tanh;AND;704;0,105099;734501
Tanh;AND;705;0,223419;734901
Tanh;AND;706;0,171497;737300
Tanh;AND;707;0,220849;735600
Tanh;AND;708;0,105559;751800
Tanh;AND;709;0,100001;755699
Tanh;AND;710;0,104361;755800
Tanh;AND;711;0,167544;759099
Tanh;AND;712;0,176325;764801
Tanh;AND;713;0,104272;770800
Tanh;AND;714;0,15149;768099
Tanh;AND;715;0,112367;752099
Tanh;AND;716;0,16266;750001
Tanh;AND;717;0,104347;762701
Tanh;AND;718;0,140194;762700
Tanh;AND;719;0,16163;761800
Tanh;AND;720;0,202526;761600
Tanh;AND;721;0,099459;772299
Tanh;AND;722;0,218014;766300
Tanh;AND;723;0,218359;812400
Tanh;AND;724;0,131969;767201
Tanh;AND;725;0,219798;796301
Tanh;AND;726;0,213506;782301
Tanh;AND;727;0,102113;772699
Tanh;AND;728;0,141273;772701
Tanh;AND;729;0,102423;769300
Tanh;AND;730;0,213463;778201
Tanh;AND;731;0,18453;761700
Tanh;AND;732;0,212902;756800
